Name,Total components,Total classes including components,Total classes without components,Total methods,Period start,Period stop,Developers,Publications
Prototype S,111,216,105,5087,1 04 2018,1 04 2019,1 2 3 5 6,110
Subsystem 1,37,105,68,1862,,,,
Subsystem 2,352,587,235,17547,,,,
Subsystem 3,29,67,38,834,,,,
Subsystem 4,56,200,144,3882,,,,
Subsystem 5,156,758,602,11431,,,,
Subsystem 6,11,110,99,2052,,,,
Subsystem 7,48,969,921,14738,,,,
Subsystem 8,5,20,15,203,,,,
,,,,,,,,
Prototype X,45,138,93,2051,01 10 2016,08 03 2021,1 2 3 4 5,58
Subsystem 4,56,206,150,4065,,,,
Subsystem 5,156,759,603,11432,,,,
Subsystem 7,48,872,824,14942,,,,
Subsystem 8,5,20,15,203,,,,
,,,,,,,,
Prototype C,264,362,98,10250,01 01 2011,02 10 2012,1 2 6,86
Subsystem 9,0,192,192,4061,,,,
Subsystem 10,19,82,63,2189,,,,
Subsystem 5,25,415,390,5021,,,,
Subsystem 7,6,399,393,8567,,,,
Subsystem 8,3,14,11,97,,,,
,,,,,,,,
Prototype F,38,142,104,4067,01 01 2011,31 08 2012,1 2,19
Subsystem 5,134,407,273,4597,,,,
Subsystem 7,1,72,71,824,,,,
Subsystem 8,3,14,11,97,,,,
,,,,,,,,
Prototype I,14,51,37,678,01 07 2014,13 01 2015,1,10
Subsystem 5,154,611,457,9393,,,,
Subsystem 7,49,637,588,13013,,,,
Subsystem 8,3,14,11,124,,,,
,,,,,,,,
Prototype R,41,98,57,1828,01 07 2018,08 04 2019,1 2 3 8,49
Subsystem 3,26,60,34,757,,,,
Subsystem 4,53,192,139,3658,,,,
Subsystem 5,156,713,557,10703,,,,
Subsystem 7,45,766,721,13375,,,,
Subsystem 8,5,19,14,198,,,,
Subsystem 11,1,16,15,286,,,,
Subsystem 12,6,49,43,648,,,,
,,,,,,,,
Prototype Q,41,75,34,2964,01 01 2013,22 03 2019,1 2 5 6,89
Subsystem 3,12,24,12,527,,,,
Subsystem 5,147,584,437,8571,,,,
Subsystem 7,38,770,732,14935,,,,
Subsystem 8,5,19,14,197,,,,
,,,,,,,,
Prototype J,0,0,0,0,01 07 2014,22 01 2015,2 10,7
Subsystem 2,233,318,85,11839,,,,
Subsystem 4,30,111,81,2240,,,,
Subsystem 5,146,622,476,9022,,,,
Subsystem 7,21,614,593,13246,,,,
Subsystem 8,3,14,11,121,,,,
,,,,,,,,
Prototype H,0,0,0,0,01 01 2014,16 04 2015,1 2 10,23
Subsystem 2,217,299,82,11066,,,,
Subsystem 4,25,97,72,1864,,,,
Subsystem 5,150,631,481,9303,,,,
Subsystem 7,21,612,591,13216,,,,
Subsystem 8,3,14,11,124,,,,
,,,,,,,,
Prototype T,65,396,331,9196,01 04 2014,25 07 2019,1 2 3 5 10,314
Subsystem 5,155,644,489,9718,,,,
Subsystem 7,35,641,606,11454,,,,
Subsystem 8,5,18,13,189,,,,
,,,,,,,,
Prototype D,301,367,66,11345,01 01 2011,01 07 2012,1 2,17
Subsystem 5,41,475,434,6575,,,,
Subsystem 7,6,453,447,9291,,,,
Subsystem 8,3,14,11,113,,,,
,,,,,,,,
Prototype O,36,993,957,2379,01 04 2017,18 04 2018,1 2 3 6 8 11,157
Subsystem 1,36,107,71,1817,,, ,
Subsystem 2,341,581,240,18137,,,,
Subsystem 3,24,53,29,669,,,,
Subsystem 4,49,172,123,3234,,,,
Subsystem 10,38,144,106,4152,,,,
Subsystem 5,155,672,517,10069,,,,
Subsystem 7,39,694,655,12246,,,,
Subsystem 8,5,19,14,194,,,,
,,,,,,,,
Prototype P,22,68,46,851,01 04 2018,12 12 2018,1 6,10
Subsystem 7,39,726,687,12617,,,,
Subsystem 8,5,19,14,197,,,,
,,,,,,,,
Prototype L,23,142,119,2793,01 10 2014,20 04 2016,1 2 5 10,65
Subsystem 7,40,773,733,14906,,,,
Subsystem 8,3,14,11,155,,,,
Subsystem 5,153,632,479,9468,,,,
,,,,,,,,
Prototype W,21,43,22,752,01 07 2020,10 03 2021,1 2 4 7,40
Subsystem 3,29,67,38,841,,,,
Subsystem 5,157,759,602,11461,,,,
Subsystem 7,49,868,819,14954,,,,
Subsystem 8,5,20,15,202,,,,
,,,,,,,,
Prototype B,328,414,86,10270,01 01 2011,20 09 2011,2 6,16
Subsystem 5,25,403,378,4712,,,,
Subsystem 7,6,350,344,7033,,,,
Subsystem 8,3,14,11,97,,,,
,,,,,,,,
Prototype A,5,65,60,1635,01 10 2009,10 04 2010,2 ,
Subsystem 5,134,407,273,4596,,,,
Subsystem 8,3,14,11,97,,,,
,,,,,,,,
Prototype V,34,64,30,1649,01 04 2019,02 07 2020,1 2 4,49
Subsystem 3,28,65,37,804,,,,
Subsystem 4,55,200,145,3827,,,,
Subsystem 5,156,750,594,11324,,,,
Subsystem 6,11,110,99,2044,,,,
Subsystem 7,47,783,736,13595,,,,
Subsystem 8,5,20,15,203,,,,
,,,,,,,,
Prototype N,9,17,8,227,01 07 2017,11 04 2018,1,8
Subsystem 1,36,106,70,1815,,,,
Subsystem 2,333,568,235,17700,,,,
Subsystem 3,24,57,33,699,,,,
Subsystem 4,53,179,126,3383,,,,
Subsystem 5,155,677,522,10113,,,,
Subsystem 7,44,717,673,12772,,,,
Subsystem 8,5,19,14,197,,,,
,,,,,,,,
Prototype G,0,37,37,964,01 01 2013,24 04 2013,2 10,9
Subsystem 5,140,398,258,5347,,,,
Subsystem 7,17,562,545,11964,,,,
Subsystem 8,3,14,11,117,,,,
,,,,,,,,
Prototype E,552,641,89,12877,01 01 2007,11 07 2012,1 2 11 12,125
Subsystem 5,221,511,290,5999,,,,
Subsystem 7,0,7,7,54,,,,
Subsystem 8,3,14,11,98,,,,
,,,,,,,,
Prototype K,0,0,0,0,01 10 2014,23 09 2015,1 2 10,12
Subsystem 2,237,379,142,13561,,,,
Subsystem 4,27,100,73,1925,,,,
Subsystem 5,154,667,513,9887,,,,
Subsystem 7,50,657,607,13435,,,,
Subsystem 8,3,14,11,145,,,,
,,,,,,,,
Prototype M,7,50,43,705,01 07 2016,26 02 2018,1 2 6,31
Subsystem 7,39,693,654,12201,,,,
Subsystem 8,5,19,14,192,,,,
,,,,,,,,
Prototype U,22,57,35,691,01 04 2017,23 09 2019,1 2 3 5 6,48
Subsystem 1,37,108,71,1847,,,,
Subsystem 2,332,568,236,17689,,,,
Subsystem 3,26,60,34,745,,,,
Subsystem 4,53,180,127,3440,,,,
Subsystem 5,155,678,523,10127,,,,
Subsystem 7,44,708,664,12711,,,,
Subsystem 8,5,19,14,197,,,,
